title;count;image-src;price;category;availability
CANEPA СОВІНЬОН БЛАН  Б/С0,75;750 мл;https://img3.zakaz.ua/Na.1298121113.ff7fb3d7/Na.1298121113.SN1741CD.obj.0.5.jpg.oe.jpg.pf.jpg.350x.jpg;129,9;Вино;Нет в наличии
Виски Wild Turkey Бурбон 40,5% 0,7л;700 мл;https://img3.zakaz.ua/20180315.1521116107.ad72436478c_2018-03-15_Ucat/20180315.1521116107.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;389;Крепкий алкоголь;Добавить в корзину
Напиток слабоалкогольный King's Bridge Джин c тоником жестяная банка 0,45л;450 мл;https://img3.zakaz.ua/20190611.1560244222.ad72436478c_2019-07-25_Natalia_Novus_Alexey/20190611.1560244222.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;22,91;Слабоалкогольные напитки;Добавить в корзину
Водка Хортиця Классическая 40% 0,7л;700 мл;https://img3.zakaz.ua/src.1490176978.ad72436478c_2017-03-22_Alexey/src.1490176978.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;125,9;Крепкий алкоголь;Добавить в корзину
Пиво Карлсберг светлое пастеризованное стеклянная бутылка 5%об. 330мл Украина;330 мл;https://img3.zakaz.ua/upload.version_1.0.d6de1bf290e6b2e8852d39766afd80b0.350x350.jpeg;7,8;Пиво;Нет в наличии
Водка Хортиця Платинум 40% 0,7л;700 мл;https://img3.zakaz.ua/src.1490176583.ad72436478c_2017-03-22_Alexey/src.1490176583.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;125,9;Крепкий алкоголь;Добавить в корзину
Водка Absolut 40% 0,05л;50 мл;https://img3.zakaz.ua/20180202.1517600375.ad72436478c_2018-02-02_Tatiana/20180202.1517600375.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;37,91;Крепкий алкоголь;Нет в наличии
Вино игристое КЗШВ Наш Киев Мускатное белое полусладкое 0,75л;750 мл;https://img2.zakaz.ua/20180803.1533298144.ad72436478c_2018-08-03_Tatiana/20180803.1533298144.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;89,9;Шампанское и игристое вино;Нет в наличии
Пиво Балтика премиум светлое безалкогольное 500мл;500 мл;https://img3.zakaz.ua/20190603.1559311462.ad72436478c_2019-06-03_Tatiana/20190603.1559311462.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;20,9;Пиво;Добавить в корзину
Коньяк Ай-Петри 4 звезды 40% 0,5л;500 мл;https://img3.zakaz.ua/2.1493465522.ad72436478c_2017-04-28_Alexey/2.1493465522.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;43,99;Крепкий алкоголь;Нет в наличии
Вино игристое Soligo Solicum розовое 12% 0,75л;750 мл;https://img2.zakaz.ua/src.1496403156.ad72436478c_2017-06-02_Alexey/src.1496403156.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;229,9;Шампанское и игристое вино;Нет в наличии
Вермут Моя Амаретка с коньяком 20% 0,5л;500 мл;https://img3.zakaz.ua/1001PX.1313415031.0f7789e6@110819/1001PX.1313415031.SNB6D069.obj.0.6.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;26,13;Вино;Нет в наличии
KINGS BRIDGE НАП.АЛК. Ж/Б 0.5Л ДЖИН-ВИШНЯ;500 мл;https://img2.zakaz.ua/src.1479734966.ad72436478c_2016-11-21_Aleksey/src.1479734966.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;17,76;Слабоалкогольные напитки;Нет в наличии
Виски Dewar's 12 лет 40% 0,7л в металлической коробке;700 мл;https://img3.zakaz.ua/Cartfresh-Laptop-1.1542721345.ad72436478c_2018-11-21_Sergii_MEGAMARKET/Cartfresh-Laptop-1.1542721345.SNFB30AD.obj.0.3.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;979,9;Крепкий алкоголь;Нет в наличии
Ликер Aperol Aperetivo 1л;1 л;https://img3.zakaz.ua/20180315.1521116907.ad72436478c_2018-03-15_Ucat/20180315.1521116907.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;299,9;Ликеры;Добавить в корзину
Бальзам Златогор Давний рецепт 9 Сил 40% 0.5л;500 мл;https://img3.zakaz.ua/20170504.1493988151.ad72436478c_2017-05-04_Alexey/20170504.1493988151.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;99,9;Ликеры;Добавить в корзину
Виски Бурбон Оld Road 3 года 40% 0,7л;700 мл;https://img2.zakaz.ua/20170504.1493933125.ad72436478c_2017-05-04_Alexey/20170504.1493933125.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;169,89;Крепкий алкоголь;Нет в наличии
Пиво Seth & Riley's GARAGE Hard Lemon Tea светлое специальное 4.6% 0.44л;440 мл;https://img3.zakaz.ua/zakaz-2-HP-630-Notebook-PC.1481176623.ad72436478c_2016-12-14_vitaliy/zakaz-2-HP-630-Notebook-PC.1481176623.SNDDE581.obj.0.9.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;18,9;Пиво;Нет в наличии
LEFFE ROYALE ПИВО   0,33Л;330 мл;https://img3.zakaz.ua/1.1493993385.ad72436478c_2017-05-04_Alexey/1.1493993385.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;28,9;Пиво;Нет в наличии
Пиво Seth & Riley's GARAGE granny's anti-compote специальное пастеризованное 4,6% 0,44л;440 мл;https://img3.zakaz.ua/20190607.1559900234.ad72436478c_2019-06-07_Tatiana/20190607.1559900234.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;15,9;Пиво;Добавить в корзину
Вино Villa Krim Шато Барон белое полусладкое 1.5л;1.5 л;https://img3.zakaz.ua/src.1479958816.ad72436478c_2016-11-23_Aleksey/src.1479958816.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;98,9;Вино;Добавить в корзину
Пиво Зиберт светлое 4.9% 2000мл Украина;2 л;https://img3.zakaz.ua/20170504.1493980884.ad72436478c_2017-05-04_Alexey/20170504.1493980884.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;13,28;Пиво;Нет в наличии
Пиво Первая приватная броварня Бочковое светлое  4.5%об. 500мл;500 мл;https://img2.zakaz.ua/zakaz-Lenovo-ideapad-320.1559730525.ad72436478c_2019-06-06_Lex_novus_Mari/zakaz-Lenovo-ideapad-320.1559730525.SND74023.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;14,91;Пиво;Добавить в корзину
ILORI Ч/НСОЛ 1,5Л;1.5 л;https://img3.zakaz.ua/Cartfresh-Laptop-1.1498748376.ad72436478c_2017-06-30_Sasha/Cartfresh-Laptop-1.1498748376.SNFB30AD.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;199,9;Вино;Нет в наличии
Настойка The Highland Fox White Fox 0,5л;500 мл;https://img2.zakaz.ua/zakaz-2-HP-630-Notebook-PC.1467976335.ad72436478c_2016-07-09_vitaliy/zakaz-2-HP-630-Notebook-PC.1467976335.SND186F2.obj.0.9.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;78,24;Крепкий алкоголь;Нет в наличии
Коньяк армянский Арарат Наири 20 лет 40% 0,7л в подарочной упаковке;700 мл;https://img3.zakaz.ua/upload.version_1.0.c39cbae37f427546cb0675114fcecd3a.350x350.jpeg;1999,91;Крепкий алкоголь;Добавить в корзину
